Snötyp:,Snötemperatur:,Valla (Label)
0,6,0
0,5,0
0,4,0
0,3,0
0,2,0
0,1,0
0,0,0
0,-1,0
0,-1,1
0,-2,1
0,-3,1
0,-4,1
0,-4,2
0,-5,2
0,-6,2
0,-7,2
0,-8,2
0,-9,2
0,-10,2
0,-11,2
0,-12,2
0,-13,2
0,-14,2
0,-15,2
1,6,3
1,5,3
1,4,3
1,3,3
1,3,4
1,2,4
1,1,4
1,0,4
1,1,5
1,0,5
1,-1,5
1,-1,6
1,-2,6
1,-3,6
1,-4,6
1,-5,6
1,-6,6
1,-7,6
1,-8,6
1,-9,6
1,-10,6
1,-11,6
1,-12,6
1,-12,2
1,-13,2
1,-14,2
1,-15,2
2,6,4
2,5,4
2,4,4
2,3,4
2,3,5
2,2,5
2,1,5
2,0,5
2,1,7
2,0,7
2,-1,7
2,-1,8
2,-2,8
2,-3,8
2,-4,8
2,-4,2
2,-5,2
2,-6,2
2,-7,2
2,-8,2
2,-9,2
2,-10,2
2,-11,2
2,-12,2
2,-12,2
2,-13,2
2,-14,2
2,-15,2
3,6,4
3,5,4
3,4,4
3,3,4
3,3,4
3,2,4
3,1,4
3,0,4
3,1,9
3,0,9
3,-1,9
3,-1,6
3,-2,6
3,-3,6
3,-4,6
3,-4,6
3,-5,6
3,-6,6
3,-7,6
3,-8,6
3,-8,2
3,-9,2
3,-10,2
3,-11,2
3,-12,2
3,-12,2
3,-13,2
3,-14,2
3,-15,2
